"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"File","New (Class)","Esc ⌘N","In Windows"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Text Editing","Previous Word","Esc B","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"Terminal view commands","Copy","⌘C","Terminal Control in Focus"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"WindowBuilder Pro","Switch Source/Design Views","F12","WindowBuilder XML scope"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Open Declaration","F3","JavaScript View"
"File","Close","⌃X K","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"File","Save","⌘S","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Edit","Redo","⌃X R","In Windows"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Window","Next Editor","⌘F6","In Windows"
"Uncategorized","Dump Log Sniffer Buffer ()","⇧⌃⌥Z","In Windows"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"File","Print","⌘P","In Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Server","Debug","⌥⌘D","In Servers View"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Text Editing","Delete Previous","⌃H","Editing Text"
"View","Zoom In","⌘=","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Text Editing","Line End","⌘→","Editing Text"
"File","Save","⌃X ⌃S","In Windows"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Run/Debug","Run to Line","⌘R","Debugging"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Text Editing","Delete Next Word","⌥D","Editing Text"
"Run/Debug","Terminate","⌘F2","Debugging"
"Navigate","Open Resource","⌃X ⌃F","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Navigate","Forward History","⌥⌘→","In Windows"
"Window","Update Project","⌥F5","In Windows"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder Java scope"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"File","Refresh","F5","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Text Editing","Set Mark","⌃2","Editing Text"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Beans Quick Cross References","⇧⌥G","Editing Text"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Text Editing","Line End","⌃E","Editing Text"
"Source","Format","⇧⌘F","Editing Java Source"
"Navigate","Backward History","⌘[","In Windows"
"Text Editing","Next Word","Esc F","Editing Text"
"Server","Publish","⌥⌘P","In Servers View"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"File","New (Interface)","Esc ⌘I","In Windows"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Text Editing","Text Start","Esc <","Editing Text"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Gradle (STS) Tools","Refresh All","⌘F5","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Text Editing","Text End","⌃X ]","Editing Text"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Run/Debug","Debug Spring Boot App","⇧⌥D B","In Windows"
"Text Editing","Cut to Beginning of Line","⌥0 ⌃K","Editing Text"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Text Editing","Text End","⇧⌘.","Editing Text"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Text Editing","Next Word","⌥F","Editing Text"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Next","⌘.","In Windows"
"Text Editing","Page Down","⌃V","Editing Text"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Navigate","Backward History","⌥⌘←","In Windows"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder XML scope"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Navigate","Open Type","⇧⌘T","In Windows"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Edit","Incremental Find Reverse","⌃R","Editing Text"
"Edit","Redo","F10","In Windows"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Edit","Delete","⌦","In Windows"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Source","Organize Imports","⇧⌘O","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Text Editing","Text End","⇧⌥>","Editing Text"
"Window","Quick Switch Editor","⌘E","In Windows"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"File","Rename","F2","In Windows"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Window","Quick Switch Editor","⌃X B","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Text Editing","Page Up","⌘V","Editing Text"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Text Editing","Text Start","⌃X [","Editing Text"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Navigate","Next Page","⌥F7","In Windows"
"File","Properties","⌘I","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Text Editing","Clear Mark","⌃G","Editing Text"
"File","Close All","⌃X ⌃C","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Text Editing","Text Start","⇧⌘,","Editing Text"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"File","Properties","⌥↩","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Gradle (STS) Tools","Open Gradle (STS) Tasks Quick Launcher","⇧⌥⌘R","In Windows"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Quick Search Category","Quick Search Command","⇧⌘L","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"WindowBuilder Pro","Empty command","⇧⌘A","WindowBuilder XML scope"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Navigate","Open Spring Bean","⇧⌥B","In Windows"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Window","Next View","⌘F7","In Windows"
"Terminal view commands","Paste","⌃Y","Terminal Control in Focus"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥T","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"View","Zoom Out","⌘-","In Windows"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Uncategorized","Dump Log Sniffer Buffer ()","⇧⌃⌥X","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Run/Debug","Run Spring Boot App","⇧⌥X B","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Server","Run","⌥⌘R","In Servers View"
"Edit","Undo","⌃X U","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
