"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Edit","Copy","⌘W","In Dialogs and Windows"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"YEdit","Format","⇧⌘F","YEdit editor context"
"Text Editing","Previous Word","⌥B","Editing Text"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Edit","Cut","⌘X","In Dialogs and Windows"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"File","Print","Esc F9","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Navigate","&Quick Cross References","⇧⌥P","Editing Java Source"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Run/Debug","Run AspectJ/Java Application","⇧⌥X C","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Terminal view commands","Copy","⌘Insert","Terminal Control in Focus"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"File","Close","⌘F4","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"File","Print","⌥F9","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Edit","Context Information","⌥?","In Windows"
"Run/Debug","Close Rendering","⌘F4","In Memory View"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Navigate","Beans Quick Outline","⇧⌘O","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Text Editing","Scroll Line Down","⌃Z","Editing Text"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Text Editing","Next Column","⌃F","Editing Text"
"Edit","Redo","⇧⌃+","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Edit","Context Information","⇧⌥?","In Windows"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Edit","Find and Replace","⌘F","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Text Editing","Recenter","⌃L","Editing Text"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Edit","Find Next","⌘K","Editing Text"
"YEdit","Toggle Comment","⇧⌘C","YEdit editor context"
"Project","Build All","⌘B","In Windows"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Navigate","Previous","⇧⌘.","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Text Editing","Line Up","⌃P","Editing Text"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Run/Debug","Debug AspectJ/Java Application","⇧⌥D C","In Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Terminal view commands","Paste","⇧⌘V","Terminal Control in Focus"
"Terminal view commands","Quick Access","⌥→","Terminal Control in Focus"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Text Editing","Cut to Beginning of Line","Esc 0 ⌃K","Editing Text"
"Window","Previous View","⇧⌘F7","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Text Editing","Previous Column","⌃B","Editing Text"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus"
"Text Editing","Delete Next","⌃D","Editing Text"
"Text Editing","Set Mark","⌃Space","Editing Text"
"Edit","Incremental Find","⌘J","Editing Text"
"File","Save All","⌃X S","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Edit","Undo","F9","In Windows"
"Navigate","Go to Line","⌘L","Editing Text"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Navigate","Show In...","⌥⌘W","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Views","Show View","⌥⌘Q Q","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Run/Debug","Debug","⌘F11","In Windows"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Navigate","Forward History","⌘]","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"YEdit","Toggle Comment","⌘/","YEdit editor context"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Text Editing","Page Up","Esc V","Editing Text"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Server","Stop","⌥⌘S","In Servers View"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"File","New","⌘N","In Windows"
"Search","Spring Beans References Search","⇧⌘G","Editing in Structured Text Editors"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Text Editing","Delete Line","⌘D","Editing Text"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Text Editing","Line Down","⌃N","Editing Text"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Text Editing","Text End","Esc >","Editing Text"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Edit","Incremental Find","⌃S","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Spy","Plug-in Selection Spy","⌥⌘F1","In Dialogs and Windows"
"WindowBuilder Pro","Switch Source/Design Editors","⇧F12","Editing Text"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Edit","Undo","⇧⌃-","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Edit","Word Completion","⌃.","Editing Text"
"Window","Close Dialog","⌘F4","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Edit","Select All","⌃X H","In Dialogs and Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Window","Quick Access","⌘3","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"File","Save All","⇧⌘S","In Windows"
"Edit","Undo","⌃/","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Text Editing","Text Start","⌥<","Editing Text"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Edit","Find and Replace","⌥R","In Windows"
"Text Editing","Text End","⌥>","Editing Text"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Go to Line","⌃X G","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Line Start","⌃A","Editing Text"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Edit","Content Assist","⌘Space","In Dialogs and Windows"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Text Editing","Text End","↘","Editing Text"
"Terminal Commands","Open Terminal","⇧⌃⌥T","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Edit","Find and Replace","Esc R","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
